cte_est, he_est, action0, action1, action2
0, 0, 0.9846, 0.9387, 0.9387
0, 1, 0.8919, 0.09630000000000005, 0.9378
0, 2, 0.8919, 0.9378, 0.09629999999999994
1, 0, 0.9727875, 0.8273312500000001, 0.93825625
1, 1, 0.78019375, 0.08978125000000003, 0.9256500000000001
1, 2, 0.8976437500000001, 0.932175, 0.09630624999999993
2, 0, 0.9727875, 0.93825625, 0.8273312500000001
2, 1, 0.8976437500000001, 0.09630625000000004, 0.932175
2, 2, 0.78019375, 0.9256500000000001, 0.08978125000000003
3, 0, 0.85511875, 0.09192500000000003, 0.8914562500000001
3, 1, 0.044893750000000066, 0.044893750000000066, 0.8080875000000001
3, 2, 0.8914562500000001, 0.85511875, 0.09192500000000003
4, 0, 0.85511875, 0.8914562500000001, 0.09192500000000003
4, 1, 0.8914562500000001, 0.09192500000000003, 0.85511875
4, 2, 0.044893749999999955, 0.8080875000000001, 0.044893749999999955
